,pct_missing,nobs,r2,r2_adj,bic,r2_pred,mse_pred,mape_pred,const_ci_rng,const_estimate,const_in_target,const_true_beta,x1_ci_rng,x1_estimate,x1_in_target,x1_true_beta,x1:x2_ci_rng,x1:x2_estimate,x1:x2_in_target,x1:x2_true_beta,x2_ci_rng,x2_estimate,x2_in_target,x2_true_beta,action_type,beta_sigma,sample_size,beta_x2/beta_x1,beta_x1:x2/beta_x1,_beta_sigma,_sample_size,_beta_x2/beta_x1,_beta_x1:x2/beta_x1
4,0.4,100.0,0.767828707256563,0.7605733543583306,391.2707487710043,0.7950351840855185,1.8695165481438667,7.976711736849061,2.3481126958719862,13.767885751663213,0,10,3.7180352719480196,3.459038966041447,0,10,5.4196250926418585,14.207319684653726,0,1,3.510156070117377,-6.07690785323152,0,1.0,mean,0.1,100,0.1,0.1,0.0,1.0,0.0,0.14285714285714285
5,0.5,100.0,0.767373680551013,0.7601041080682321,391.46654446314193,0.759305327439443,2.1954142294830707,8.68454437959933,2.223773928173692,13.921459896639554,0,10,3.8161681139430814,3.5223170333038305,0,10,4.755838690144154,15.244947285131774,0,1,3.2935150025387365,-6.537614736162327,0,1.0,mean,0.1,100,0.1,0.1,0.0,1.0,0.0,0.14285714285714285
6,0.6000000000000001,100.0,0.7775695467514135,0.7706185950873952,386.9846540762086,0.8029260301410575,1.7975428915244747,7.840096627617337,2.3887159536728646,13.399013693864752,0,10,3.736080896352412,4.041507859185624,0,10,4.647602040926795,14.906946000881822,0,1,3.229061226871387,-6.339698671136382,0,1.0,mean,0.1,100,0.1,0.1,0.0,1.0,0.0,0.14285714285714285
7,0.7000000000000001,100.0,0.7521554814305667,0.7444103402252719,397.8033665987997,0.7331252778546109,2.434206608124738,9.127700586953933,2.397716383045001,14.29538003292625,0,10,4.47213455347346,2.917558957169426,0,10,4.58466751788967,16.318624821856893,0,1,3.2414015066393222,-7.172922751401049,0,1.0,mean,0.1,100,0.1,0.1,0.0,1.0,0.0,0.14285714285714285
0,0.0,20.0,0.6640360947058924,0.6010428624632472,106.69763462747913,0.5998056433356529,5.3676767718842004,11.141095614460761,11.431422595476462,14.477307738383587,1,10,18.839604610015297,4.002755569188704,1,10,31.173873384984773,11.748319776053599,1,1,20.1787885619149,-7.001171983585934,1,1.0,mean,0.3,20,0.1,0.1,1.0,0.0,0.0,0.14285714285714285
1,0.1,20.0,0.6755238992466592,0.6146846303554079,106.00179771765193,0.5930441616255447,5.458366327382626,11.320690385574455,10.538803434368017,14.132024920932848,1,10,15.962797363110962,4.465360777917745,1,10,26.155690752913877,11.426481836790295,1,1,18.675694150800318,-6.55873846528047,1,1.0,mean,0.3,20,0.1,0.1,1.0,0.0,0.0,0.14285714285714285
2,0.2,20.0,0.6480041732344302,0.5820049557158858,107.62994643298609,0.5092477492972548,6.5823003572646215,12.321430242238167,9.663547739123771,16.119133884079552,0,10,14.926496954535882,0.7531832907942007,0,10,19.784075967407972,16.99227469320595,0,1,15.040456624432338,-9.857106798226813,0,1.0,mean,0.3,20,0.1,0.1,1.0,0.0,0.0,0.14285714285714285
3,0.30000000000000004,20.0,0.6517536735874727,0.5864574873851238,107.41576131595299,0.5210860899329839,6.423516543875289,12.143121676056554,12.392261973657046,15.318119582394383,1,10,17.122507981274282,1.887895123948688,1,10,25.336435971457917,15.364918887468914,0,1,18.871040097151734,-8.723021076996313,0,1.0,mean,0.3,20,0.1,0.1,1.0,0.0,0.0,0.14285714285714285
4,0.4,20.0,0.6486097141141107,0.5827240355105066,107.59551066472821,0.4982284589736242,6.7300985151542125,12.308740191648425,13.548452820621423,15.717983391178606,1,10,17.238409744255055,1.1016934722080087,0,10,19.83123075742956,16.799874608861156,0,1,18.688558753522663,-9.317553932650416,0,1.0,mean,0.3,20,0.1,0.1,1.0,0.0,0.0,0.14285714285714285
5,0.5,20.0,0.6611620500186914,0.597629934397196,106.86799942675763,0.5137520617251815,6.5218854793682555,10.916880678645006,14.654188347461032,18.999898592946813,0,10,18.546917813185786,-3.577622151584684,0,10,21.383816246108587,20.848698800063488,0,1,19.76059835593968,-12.755852335277195,0,1.0,mean,0.3,20,0.1,0.1,1.0,0.0,0.0,0.14285714285714285
6,0.6000000000000001,20.0,0.6530816479143162,0.5880344568982505,107.339349151567,0.4098751336865918,7.915152936747918,14.877043576046944,14.891078113679143,14.805640609924275,1,10,21.606512713312224,2.699562272581071,1,10,15.760517327593076,16.778161802540026,0,1,15.529211601903707,-9.313280447885502,0,1.0,mean,0.3,20,0.1,0.1,1.0,0.0,0.0,0.14285714285714285
7,0.7000000000000001,20.0,0.6630493520256837,0.5998711055304994,106.75628952698537,0.4617084902421791,7.219928980290253,13.814090668774856,10.436666051395527,14.795838981243733,1,10,14.218098877062786,2.927776104075214,1,10,15.907506283306985,16.046386307597885,0,1,15.597449541720254,-8.687689272302697,0,1.0,mean,0.3,20,0.1,0.1,1.0,0.0,0.0,0.14285714285714285
0,0.0,50.0,0.6295888395195055,0.6054315899229514,267.3089637642587,0.3575373748439442,9.180228526419251,15.811063798609363,8.086335358316425,13.667534822026155,1,10,14.36185830820109,5.975516397815605,1,10,24.687501360142182,14.830627503740276,0,1,13.965524097079076,-7.780061096285332,0,1.0,mean,0.3,50,0.1,0.1,1.0,0.375,0.0,0.14285714285714285
1,0.1,50.0,0.6218442995405458,0.5971819712497117,268.3435829433606,0.3437112116331845,9.37779229580975,15.946118707386992,7.428130393968125,14.515435298839634,0,10,12.998653831558148,4.3392990779008205,1,10,21.507458614207934,17.878891250803505,0,1,12.319396222255815,-9.441873928318858,0,1.0,mean,0.3,50,0.1,0.1,1.0,0.375,0.0,0.14285714285714285
2,0.2,50.0,0.6375240639940309,0.6138843290371199,266.2261865369827,0.3013030153046192,9.983768298841703,16.851711495398785,6.361084153426912,14.122366341160577,0,10,11.068579334897361,5.411591107826327,1,10,16.92546795818769,17.729045697644857,0,1,9.982987461485322,-9.750387789043105,0,1.0,mean,0.3,50,0.1,0.1,1.0,0.375,0.0,0.14285714285714285
3,0.30000000000000004,50.0,0.6072995598577973,0.5816886615876535,270.23063622369216,0.3323298376106233,9.540422167775274,16.21226121342606,7.274786843941891,16.359223092790756,0,10,12.510218594127995,0.5853544452979387,0,10,18.970714173432185,23.27930186088595,0,1,11.143577868080556,-12.073114315999831,0,1.0,mean,0.3,50,0.1,0.1,1.0,0.375,0.0,0.14285714285714285
4,0.4,50.0,0.6223406898171231,0.5977107348051963,268.27790677380085,0.27109460707064703,10.415420009226986,17.095929346178092,6.197975986926261,14.982217948773362,0,10,11.381656064224817,3.8650302367211022,0,10,14.600858057528164,20.848683417693643,0,1,9.163896679679091,-11.287563077387121,0,1.0,mean,0.3,50,0.1,0.1,1.0,0.375,0.0,0.14285714285714285
5,0.5,50.0,0.607805874622336,0.5822279968803145,270.1661288545485,0.31129231099656096,9.841030007648927,16.576459843788466,6.512284339560523,16.24634686361755,0,10,12.418716450091694,0.950360795115794,0,10,13.85462636645132,23.39578712421181,0,1,10.070704206576789,-12.012246669394555,0,1.0,mean,0.3,50,0.1,0.1,1.0,0.375,0.0,0.14285714285714285
6,0.6000000000000001,50.0,0.6072320323628219,0.5816167301256145,270.23923332250257,0.32024627631612756,9.713085681189023,16.399583280113905,8.05713127252941,16.356037640530023,0,10,14.564543275455504,0.6006810203221118,0,10,13.65843133364777,23.68238583383481,0,1,9.803852559670538,-12.213248235498305,0,1.0,mean,0.3,50,0.1,0.1,1.0,0.375,0.0,0.14285714285714285
7,0.7000000000000001,50.0,0.6080592825811468,0.5824979314451346,270.1338119679874,0.3456967783035024,9.349420286179567,16.225800232018827,7.521389945562776,17.213834684368617,0,10,13.883639100538076,-1.2179023157715516,0,10,12.69193246915858,24.45077614543052,0,1,8.963822223927217,-12.578579664929045,0,1.0,mean,0.3,50,0.1,0.1,1.0,0.375,0.0,0.14285714285714285
0,0.0,100.0,0.5712058358882007,0.557806018259707,501.2173130869399,0.580710943390407,6.463907007217911,14.280122110150845,4.333374465080759,12.206862886615783,0,10,8.106125427508053,7.92838127532088,1,10,13.483226863449628,5.305295657639019,1,1,7.271103995244427,-3.3749291273000903,0,1.0,mean,0.3,100,0.1,0.1,1.0,1.0,0.0,0.14285714285714285
1,0.1,100.0,0.5312779164482282,0.5166303513372353,510.1206151440915,0.5370460100294732,7.1370609192319945,15.016767422359791,3.9109414346106597,13.955913855271247,0,10,6.811675379289074,4.065759399260887,0,10,10.540154857333691,12.052384438053437,0,1,6.280338430131419,-6.461073332174397,0,1.0,mean,0.3,100,0.1,0.1,1.0,1.0,0.0,0.14285714285714285
2,0.2,100.0,0.5574645200713632,0.5436352863235933,504.37167728826995,0.5651947206604349,6.703110533398196,14.594427482762715,4.00964228158006,13.000322212689909,0,10,7.28646880740973,6.258667991938112,0,10,11.13646359612023,9.14211684853317,0,1,6.237241727142173,-5.397145148590468,0,1.0,mean,0.3,100,0.1,0.1,1.0,1.0,0.0,0.14285714285714285
3,0.30000000000000004,100.0,0.5085495296316279,0.49319170243261634,514.8557293134712,0.4868730242302789,7.910545247926104,15.931349002594237,3.9890886571057287,15.035727971672435,0,10,8.046572148644172,1.939390864652906,0,10,11.226076627824465,14.783574466834581,0,1,6.198802492423867,-7.8405799689140885,0,1.0,mean,0.3,100,0.1,0.1,1.0,1.0,0.0,0.14285714285714285
4,0.4,100.0,0.5528386314625329,0.5388648386957371,505.41156639263517,0.5454397816738764,7.00765959455167,14.901943987933844,3.767268333105708,13.394025524903707,0,10,6.365839285590315,5.199529162600596,0,10,8.298260313850484,12.712782839489964,0,1,5.554228762035765,-6.647583064628888,0,1.0,mean,0.3,100,0.1,0.1,1.0,1.0,0.0,0.14285714285714285
5,0.5,100.0,0.5107693506909451,0.49548089290003716,514.4030184768923,0.49667410449308214,7.759448360491645,15.880418574456566,3.8345499305868973,14.929774277132903,0,10,7.77786019460595,2.280813585625229,0,10,8.583583885789611,15.395479420303955,0,1,5.609230368053247,-8.038958882385836,0,1.0,mean,0.3,100,0.1,0.1,1.0,1.0,0.0,0.14285714285714285
6,0.6000000000000001,100.0,0.5173689600657387,0.5022867400677931,513.0448600281719,0.5147736168587346,7.4804199361545365,15.601462932011595,4.312994373537057,14.325475384285138,0,10,8.164733753831223,3.3709526000906465,0,10,7.665589513297467,15.430603006383604,0,1,5.432257769298195,-7.9702742064582965,0,1.0,mean,0.3,100,0.1,0.1,1.0,1.0,0.0,0.14285714285714285
7,0.7000000000000001,100.0,0.5117991918423388,0.4965429165874119,514.1922944359159,0.5039214279051968,7.647721083452882,15.922014618763876,4.3526994436610895,14.661371716146686,0,10,9.283131976643912,2.92120315632582,0,10,7.350132596104174,16.044102810251033,0,1,5.433103866538141,-8.160136515925686,0,1.0,mean,0.3,100,0.1,0.1,1.0,1.0,0.0,0.14285714285714285
0,0.0,20.0,0.9302053440229462,0.9171188460272486,62.69942329666568,0.9247049704127117,0.6519893359233415,3.822460608382653,3.4477718980509486,9.13192503776905,1,10,7.719014473560108,9.683954689224969,1,10,13.026031252889553,1.9802836904886831,1,1,5.86283024432594,1.9549213277042066,1,1.0,invert,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
